Mouse_ID,Species,Strain,Sex,Family,DOB,Habitat,Treatment,Replicate,Cage_ID,DOD,Elevation,Date Sectioned,Section Initials,Cork?,Section notes,#slides,Slide Stained (ALK),Date stained (ALK),ALK image date,Initials,Slide Stained (SDH),Date stained (SDH),SDH image date,Initials,Stain Notes,Quantification Notes
Mus_34m,M. musculus,MUS,M,,,lowland,1000,,,,,,,,,,,,,,1,6/6/19,6/13/19,HE,,
Mus_41m,M. musculus,MUS,M,,,lowland,4500,,,,,,,,,,,,,,1,6/6/19,6/13/19,HE,"broken and cracked cells, 12 images",
Mus_43a,M. musculus,MUS,F,,,lowland,1000,,,,,,,,,,,,,,1,6/6/19,6/13/19,HE,long cells,
Mus_43c,M. musculus,MUS,F,,,lowland,1000,,,,,,,,,,,,,,1,5/8/19,6/12/19,HE,,Image 6 and 14 glycolytic cells indecipherable.
Mus_43d,M. musculus,MUS,F,,,lowland,1000,,,,,,,,,,,,,,1,5/8/19,6/4/19,HE,NO PIGMENT=UNIMAGEABLE,
Mus_43e,M. musculus,MUS,M,,,lowland,3000,,,,,,,,,,,,,,1,5/8/19,6/4/19,HE,,Glycolytic cells can not be deciphered.
Mus_43m,M. musculus,MUS,M,,,lowland,4500,,,,,,,,,,,,,,1,6/6/19,6/13/19,HE,"broken and cracked cells, air bubbles, 14 images",Glycolytic cells in images 13 and 14 not decipherable.
Mus_44a,M. musculus,MUS,M,,,lowland,3000,,,,,,,,,,,,,,1,5/8/19,6/12/19,HE,"soleus(avoided), breakage, 14 images",
Mus_44b,M. musculus,MUS,F,,,lowland,4500,,,,,,,,,,,,,,1,5/8/19,6/12/19,HE,,Cells are indecipherable in image 5.
Mus_44c,M. musculus,MUS,F,,,lowland,4500,,,,,,,,,,,,,,1,6/6/19,1/27/20,HE,,
Mus_44d,M. musculus,MUS,F,,,lowland,4500,,,,,,,,,,,,,,1,5/8/19,6/12/19,HE,,"Glycolytic cells in image 1, 3, 6, 7, and 14 not decipherable."
Mus_31m,M. musculus,MUS,M,,,lowland,1000,,,,,,,,,,,,,,1,5/8/19,6/4/19,HE,,"Glycolytic cells on most images, difficult to decipher, impossible for images 1,2, 6, 7, 8, 12, 13, 14, and 15."
Mus_44e,M. musculus,MUS,F,,,lowland,4500,,,,,,,,,,,,,,1,6/6/19,6/13/19,HE,,
Mus_44m,M. musculus,MUS,M,,,lowland,3000,,,,,,,,,,,,,,1,5/8/19,6/4/19,HE,,
PO_006,P. polionotus,PO,F,D-1290,3/11/16,lowland,1000,3,PO_1000-3,,0,6/12/18,NO,No,"Large hole in OCT, slides 1,2,6 best",6,slide 1,,,,2,4/17/19,4/19/19,SD,,Glycolytic cells in image 9 indecipherable. 
PO_027,P. polionotus,PO,M,D-1290,4/9/16,lowland,3000,3,PO_3000-3,,0,7/11/18,NO,no,redone after filling large hole,4,,,,,4,1/16/20,2/4/20,HE,,
PO_034,P. polionotus,PO,F,D-1301,4/19/16,lowland,4500,3,PO_4500-3,,0,3/30/18,NO,No,avoid 1 and 3,6,slide 1,,,,4,1/16/20,,HE,,
PO_043,P. polionotus,PO,F,D-1282,5/6/16,lowland,4500,3,PO_4500-3,,0,8/1/18,NO,no,,4,slide 1,3/14/19,,,2,4/25/19,5/7/19,SD,,
PO_045,P. polionotus,PO,F,D-1282,5/6/16,lowland,1000,3,PO_1000-3,,0,5/15/18,NO,No,avoid slide 5,6,slide 1,,,,2,4/24/19,5/8/19,HE,14 images,
PO_047,P. polionotus,PO,F,D-1290,5/3/16,lowland,4500,3,PO_4500-3,,0,7/10/18,NO,no,avoid slide 1,4,slide 1,3/14/19,,,2,4/24/19,5/8/19,HE,,Could not decipher glycolytic cells in image 11. 
PO_051,P. polionotus,PO,F,D-1290,5/30/16,lowland,1000,3,PO_1000-3,,0,4/27/18,NO,No,"avoid slide 6, slides 1 and 4 best",6,slide 2,,,,1,4/24/19,5/8/19,HE,"soleus,15 images",
PO_060,P. polionotus,PO,M,D-1320,6/8/16,lowland,3000,3,PO_3000-3,,0,4/13/18,NO,No,,6,slide 1,,,,2,4/24/19,5/1/19,HE,,
PO_064,P. polionotus,PO,M,D-1299,6/14/16,lowland,3000,3,PO_3000-3,,0,"3/2/2018
3/9/2018",NO,No,"Major hole in sample filled on 3/2
Sectioned 3/9
Try not to use Slide 5",6,slide 2,,,,4,4/10/19,4/11/19,HE,"Soleus, 18 images-2 bad ones",
PO_13,P. polionotus,PO,M,D-1299,11/3/15,lowland,3000,1,PO_3000-1,7/4/16,0,8/3/18,NO,yes,not fully embeded,4,slide 3,3/7/19,,,4,1/21/20,2/27/20,HE,Soleus,
PO_14,P. polionotus,PO,M,D-1299,11/3/15,lowland,1000,1,PO_1000-1,7/2/16,0,,,,,,,,,,4,1/16/20,2/26/20,HE,,
PO_15,P. polionotus,PO,F,D-1299,11/3/15,lowland,1000,2,PO_1000-2,7/3/16,0,,NO,,,,slide 1,3/14/19,,,2,1/21/20,2/27/20,HE,,
PO_16,P. polionotus,PO,F,D-1299,11/3/15,lowland,4500,2,PO_4500-2,7/7/16,0,,,,,,,,,,4,1/15/20,2/21/20,HE,13 images,
PO_19,P. polionotus,PO,F,D-1298,11/6/15,lowland,1000,2,PO_1000-2,7/3/16,0,,,,,,,,,,4,1/15/20,2/21/20,HE,,
PO_20,P. polionotus,PO,F,D-1298,11/6/15,lowland,3000,2,PO_3000-2,7/5/16,0,,,,,,,,,,4,1/15/20,2/21/20,HE,small amount of soleus,
PO_25,P. polionotus,PO,M,D-1296,11/23/15,lowland,4500,1,PO_4500-1,7/6/16,0,,NO,,no date,,slide 1,3/1/19,,,2,1/21/20,2/27/20,HE,very bad breakage in cells,
PO_26,P. polionotus,PO,M,D-1296,11/23/15,lowland,3000,1,PO_3000-1,7/4/16,0,,,,,,,,,,4,1/16/20,2/26/20,HE,"broken and cracked cells, 12 images",
PO_27,P. polionotus,PO,M,D-1303,11/22/15,lowland,4500,1,PO_4500-1,7/6/16,0,,NO,,no date,,slide 1,3/1/19,,,4,1/14/20,,HE,"broken and cracked cells, soleus",
PO_34,P. polionotus,PO,F,D-1298,12/5/15,lowland,3000,2,PO_3000-2,7/5/16,0,,,,,,,,,,4,1/15/20,2/26/20,HE,air bubbles,"Glycolytic cells indecipherable in image 5, 6 and 13."
PO_39,P. polionotus,PO,F,D-1304,11/30/15,lowland,4500,2,PO_4500-2,7/7/16,0,,,,,,,,,,4,1/14/20,2/21/20,HE,,
PO_41,P. polionotus,PO,M,D-1304,11/30/15,lowland,4500,1,PO_4500-1,7/6/16,0,,,,,,,,,,4,1/15/20,2/21/20,HE,,
PO_43,P. polionotus,PO,F,D-1282,12/15/15,lowland,3000,2,PO_3000-2,7/5/16,0,,,,,,,,,,4,1/15/20,2/26/20,HE,,
PO_46,P. polionotus,PO,F,D-1290,12/20/15,lowland,4500,2,PO_4500-2,7/7/16,0,,,,,,,,,,4,1/15/20,2/26/20,HE,"slide 3 also stained on 4/1 - SD, breakage in cells",
PO_47,P. polionotus,PO,F,D-1290,12/20/15,lowland,1000,2,PO_1000-2,7/3/16,0,,,,,,,,,,4,1/15/20,2/26/20,HE,,
PO_48,P. polionotus,PO,M,D-1290,12/20/15,lowland,1000,1,PO_1000-1,7/2/16,0,,,,,,,,,,4,1/15/20,2/26/20,HE,,
PO_51,P. polionotus,PO,M,D-1290,12/20/15,lowland,3000,1,PO_3000-1,7/4/16,0,,,,,,,,,,1,4/24/19,,HE,"air bubbles, broken and cracked cells, 12 images",
PO_54,P. polionotus,PO,M,D-1301,12/20/15,lowland,1000,1,PO_1000-1,7/2/16,0,,,,,,,,,,4,1/15/20,2/26/20,HE,"large air bubbles, 10 images",
